label,,,1,2,3,4,5,6,7,8,9,,10,11,12,13,14,15,16,17,18,,19,20,21,22,23,24,25,26,27,,28,29,30,31,32,33,34,35,36
11:00 AM,,,Break,,,,,,,,,,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:20 AM,,,Resolve (Duncan),,,,,,,,,,Build Traction (Anna),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PB,PI,PD,PK,PR,PY,PF,PM,PT,,PA,PJ,PC,PL,PE,PN,PG,PP,P7,,,,,,,,,,,,,,,,,,,,
,,,P1,PH,PO,PV,P3,P8,PX,P5,P0,,PQ,PZ,PS,P2,PU,P4,PW,P6,P9,,,,,,,,,,,,,,,,,,,,
12:20 PM,,,Break,,,,,,,,,,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:40 PM,,,Second-to-Second Mapping (Lauren),,,,,,,,,,Anatomy of a CFAR Technique (Anna),,,,,,,,,,Gears-Level Understanding (Qiaochu & Vaniver),,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,,,,,,,,,
,,,PD,PE,PI,PP,PR,PW,P1,P4,P9,,PC,PF,PL,PM,PQ,PX,PZ,P5,P0,,PB,PG,PK,PN,PT,PU,PY,P6,P7,,,,,,,,,,
,,,P2,P3,P8,,,,,,,,PO,PS,PV,,,,,,,,PA,PH,PJ,,,,,,,,,,,,,,,,
,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,,,,,,,,,
1:05 PM,,,PB,PG,PK,PN,PT,PU,PY,P6,P7,,PD,PE,PI,PP,PR,PW,P1,P4,P9,,PC,PF,PL,PM,PQ,PX,PZ,P5,P0,,,,,,,,,,
,,,PA,PH,PJ,,,,,,,,P2,P3,P8,,,,,,,,PO,PS,PV,,,,,,,,,,,,,,,,
,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,,,,,,,,,
1:30 PM,,,PC,PF,PL,PM,PQ,PX,PZ,P5,P0,,PB,PG,PK,PN,PT,PU,PY,P6,P7,,PD,PE,PI,PP,PR,PW,P1,P4,P9,,,,,,,,,,
,,,PO,PS,PV,,,,,,,,PA,PH,PJ,,,,,,,,P2,P3,P8,,,,,,,,,,,,,,,,
,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,,,,,,,,,
2:00 PM,,,Executing Intentions (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:10 AM,,,Lunch & Executing Intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:25 PM,,,Actually Trying To Figure Things Out (Anna),,,,,,,,,,TDT (Duncan),,,,,,,,,,Overlearning (Dan),,,,,,,,,,Eat Dirt (Qiaochu),,,,,,,,
,,,Understudy: Tsvi,,,,,,,,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,PY,PZ,P1,P2,P3,P4,P5,P6,P0
,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,
4:45 PM,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,PQ,PR,PS,PT,PU,PV,PW,PX,P9
,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,
5:05 PM,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,PI,PJ,PK,PL,PM,PN,PO,PP,P8
,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,,,Class change (5m),,,,,,,,
5:25 PM,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,PA,PB,PC,PD,PE,PF,PG,PH,P7
5:40 PM,,,Break,,,,,,,,,,Break,,,,,,,,,,Break,,,,,,,,,,Break,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00 PM,,,Closing Session (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:00,,Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:20,,"General thanks, alumni orientation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:30,,Actions & Insights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:45,,Appreciation Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:55,,Fabulous Prizes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:00,,VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00 PM,,,Dinner & Afterparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
